id,display_name,barcode,price,brand,category
19011,Tide Powder Perfume Fantasy 6x74g,4.90243E+12,50.51,Tide,Laundry Products
19020,Nissin Malkist Sand Chocolate 10x24g,4.80777E+12,46.07,Nissin (Biscuits),Bread and Biscuits
19029,Lucky Me! Instant Lomi 65g,4.80777E+12,13.76,Lucky Me,Rice and Noodles
19038,Bingo Orange 10x28g,4.80777E+12,47.75,Bingo,Bread and Biscuits
19047,Monde Cheese Bar 10x23g,4.80777E+12,65.66,Monde,Bread and Biscuits
19056,Maggi Magic Sarap 14x8g,48025522,40.9,Maggi,Seasonings and Mixes
19065,Milo Active Go Energy Drink 12x24g,4.80036E+12,80.74,Milo,Milk
19075,Keratin Plus Gold 6x20g,4.80652E+12,33.42,Keratin Plus,Hair Care
19083,Keratin Plus Hair Treatment 6x20g,4.80652E+12,28.73,Keratin Plus,Hair Care
19092,Alcoplus Isopropyl Alcohol 150ml - 1S,4.80652E+12,28.97,Alcoplus,Bath and Body Care
19101,Alcoplus Ethyl Alcohol 150ml - 1S,4.80652E+12,27.98,Alcoplus,Bath and Body Care
19110,Alcoplus Ethyl Alcohol 60ml - 1S,4.80652E+12,15.49,Alcoplus,Bath and Body Care
19119,Alcoplus Isopropyl Alcohol 60ml - 1S,4.80652E+12,16.42,Alcoplus,Bath and Body Care
19128,Tisyu Coreless Tissue 2 Rolls - 1S,4.8065E+12,8.24,Tisyu,Bath and Body Care
19137,Femme Tissues 12 rolls - 1S,4.8065E+12,88.92,Femme,Bath and Body Care
19146,Femme Interfolded Paper Towel - 1S,4.8065E+12,38.87,Femme,Bath and Body Care
19156,Monde Mamon Classic Saver Pack 12x40g,4.80777E+12,144.11,Monde,Bread and Biscuits
19176,GSM Blue Mojito 700ml,4.80013E+12,91.8,GSM Blue,Alcohol
19197,Nature's Spring Purified Water 350ml,4.80005E+12,6.4,Nature's Spring,Water
19205,Nature's Spring Purified Water 500ml,4.80005E+12,8.54,Nature's Spring,Water
19214,Nature's Spring Purified Water 1L,4.80005E+12,13.43,Nature's Spring,Water
19223,Nature's Spring Purified Water 6L,4.80005E+12,57.66,Nature's Spring,Water
19232,Nature's Spring Purified Water 10L,4.80005E+12,74.42,Nature's Spring,Water
19241,Nature's Spring Distilled Water 6L,4.80005E+12,66.21,Nature's Spring,Water
19250,Nature's Spring Distilled Water 10L,4.80005E+12,83.16,Nature's Spring,Water
19257,Ajinomoto Crispy Fry Original in Box - 182 x 62g,1.4802E+13,2391.46,Ajinomoto,Seasonings and Mixes
19265,Ajinomoto Crispy Fry Original in Box - 168 x 30g,1.4802E+13,1434.72,Ajinomoto,Seasonings and Mixes
20295,Alaska Fortified Powdered Milk Drink 10+2 PROMO  - 33g,4.80058E+12,75.91,Alaska,Milk
20323,Marlboro Lights Fliptop Ream - 10x20 sticks Promo,7.6239E+12,1181.61,Marlboro,Cigarettes
20333,Fortune Extra Menthol Fliptop Long Ream - 10x20 sticks Promo,4.80018E+12,1086.71,Fortune,Cigarettes
20343,Marlboro Ice Blast Filter Ream - 10x20 sticks Promo,4.8065E+12,1181.72,Marlboro,Cigarettes
20353,Fortune Lights Tribal Blue Label Ream - 10x20 sticks Promo,4.8065E+12,1086.48,Fortune,Cigarettes
20363,Marlboro Black Menthol Fliptop Ream - 10x20 sticks Promo,4.8065E+12,1181.22,Marlboro,Cigarettes
20373,Fortune Mint Splash Ream - 10x20 sticks Promo,4.8065E+12,1086.68,Fortune,Cigarettes
20383,Tiger Energy Vanilla - 25g,7.6223E+12,47.65,Tiger,Bread and Biscuits
20393,Tiger Energy Chocolate - 21g,7.6223E+12,47.6,Tiger,Bread and Biscuits
20403,Cheez Whiz Easy Squeeze - 210g,7.62221E+12,66.84,Cheez Whiz,Spreads and Dressings
20413,Oreo Vanilla - 28.5g,4.89305E+12,60.87,Oreo,Bread and Biscuits
20423,Oreo Chocolate - 28.5g,4.89264E+12,61.61,Oreo,Bread and Biscuits
20433,Cheez Whiz Plain Twinpack - 25g,7.62221E+12,8.49,Cheez Whiz,Spreads and Dressings
20443,Cadbury Shots - 18g,8.90123E+12,6.18,Cadbury,Candies and Chocolates
20453,Tigers Crackers Plain  - 25g,7.62221E+12,44.27,Tiger,Bread and Biscuits
20463,Tiger Crackers Ensaymada - 25g,7.62221E+12,44.18,Tiger,Bread and Biscuits
20473,Tiger Crackers Leche Flan - 25g,7.62221E+12,43.62,Tiger,Bread and Biscuits
20479,Emperador Lime Light 750ml,4.80014E+12,118.38,Emperador,Alcohol
20485,Cobra Energy Defense 350ml,4.80061E+12,18.56,Cobra,RTD
20495,Cobra Energy Drink 350ml,4.80061E+12,17.12,Cobra,RTD
20505,Silka Body Soap Green 65g,4.80651E+12,15.44,Silka,Bath and Body Care
20515,Chocomani Bulilit Bars 20x7g,4.80024E+12,14.51,Choco Mani,Candies and Chocolates
20525,The Bar Pink Grape Fruity Mix 700ml,4.80014E+12,84.2,The Bar,Alcohol
20535,The Bar Green Grape Fruity Mix 700ml,4.80014E+12,84.68,The Bar,Alcohol
20545,Primera Light Brandy 750ml,4.80013E+12,85.81,Primera,Alcohol
20612,Closeup Green Twinpack- 20g,4.80089E+12,35.9,Close Up,Oral Care
20622,Clear Shampoo Cool Sport Menthol - 12ml,4.80089E+12,28.9,Clear,Hair Care
20632,Rexona Deolotion Powder Dry - 3ml,4.80089E+12,18.6,Rexona,Bath and Body Care
20642,Ponds Facial Moisturizer Pink - 6g,4.80089E+12,9.2,Pond's,Bath and Body Care
20652,Sunsilk Damage Reconstruction - 13ml,4.80089E+12,23.75,Sunsilk,Hair Care
20662,Creamsilk Tri-Keratin Straight - 10ml,4.80089E+12,30.21,Cream Silk,Hair Care
20672,Creamsilk Tri-Keratin Shine - 10ml,4.80089E+12,29.28,Cream Silk,Hair Care
20682,Knorr Shrimp Cubes - 10g,4.00001E+12,53.48,Knorr,Seasonings and Mixes
20692,Gatorade Blue Bolt Bottle - 500ml,4.80393E+12,35.93,Gatorade,Sports Drinks
20702,Nestle All Purpose Cream Tetra Pack - 125ml,4.80036E+12,32.19,Nestle,Spreads and Dressings
20712,Ginebra Frasquito Bottle - 350ml,4.80013E+12,48,Ginebra,Alcohol
21435,Surf Bar Cherry Blossom - 360g,4.80089E+12,21.03,Surf,Laundry Products
21445,Surf Powder Pearl Blossoms - 6x65g,4.80089E+12,27.51,Surf,Laundry Products
21465,Calla Powder Rose Garden - 6x45g,4.8065E+12,26.63,Calla,Laundry Products
21475,Calla Powder Summer Fresh - 6x45g,4.8065E+12,27.15,Calla,Laundry Products
21485,Champion Powder Fabcon - 6x40g,4.8065E+12,27.71,Champion,Laundry Products
21495,Champion Powder Citrus Fresh - 6x40g,4.8065E+12,27.44,Champion,Laundry Products
21505,Champion Powder Sunny Fresh - 6x40g,4.8065E+12,27.34,Champion,Laundry Products
21515,Champion Powder Supra Clean Promo 6+1 - 7x40g,4.8065E+12,27.63,Champion,Laundry Products
21525,Calla Powder Floral Fresh Promo 6+1 - 7x45g,4.8065E+12,27.07,Calla,Laundry Products
21532,Lifebuoy Body Soap Total - 75g,4.80089E+12,14.52,Lifebuoy,Bath and Body Care
